Title,Media URL,Destination Link,Description,Pinterest board
Cuba - Summer 2026 - 35mm Film Photography #16,https://sjkonfilm.work/assets/images/scenes/full/000000080020.webp,https://sjkonfilm.work/pages/scenes.html,"Cuba - Summer 2026 - 35mm Film Photography #16. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Bend, Oregon - Spring 2026 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/scenes/full/000000090007.webp,https://sjkonfilm.work/pages/scenes.html,"Bend, Oregon - Spring 2026 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
Cuba - Summer 2026 - 35mm Film Photography #17,https://sjkonfilm.work/assets/images/scenes/full/000000090023.webp,https://sjkonfilm.work/pages/scenes.html,"Cuba - Summer 2026 - 35mm Film Photography #17. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
Cuba - Summer 2026 - 35mm Film Photography #18,https://sjkonfilm.work/assets/images/scenes/full/000000090026.webp,https://sjkonfilm.work/pages/scenes.html,"Cuba - Summer 2026 - 35mm Film Photography #18. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
Cuba - Summer 2026 - 35mm Film Photography #19,https://sjkonfilm.work/assets/images/scenes/full/000000090031.webp,https://sjkonfilm.work/pages/scenes.html,"Cuba - Summer 2026 - 35mm Film Photography #19. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
Cuba - Summer 2026 - 35mm Film Photography #20,https://sjkonfilm.work/assets/images/scenes/full/000000090033.webp,https://sjkonfilm.work/pages/scenes.html,"Cuba - Summer 2026 - 35mm Film Photography #20. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography,https://sjkonfilm.work/assets/images/scenes/full/000011130024.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #2,https://sjkonfilm.work/assets/images/scenes/full/000011130029.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #3,https://sjkonfilm.work/assets/images/scenes/full/000011130031.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #3. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #4,https://sjkonfilm.work/assets/images/scenes/full/000011140009.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #4. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
"Seattle, Washington - Winter 2026 - 35mm Film Photography",https://sjkonfilm.work/assets/images/scenes/full/IMG_5806.webp,https://sjkonfilm.work/pages/scenes.html,"Seattle, Washington - Winter 2026 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #5,https://sjkonfilm.work/assets/images/scenes/full/IMG_6363.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #5. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #6,https://sjkonfilm.work/assets/images/scenes/full/IMG_6368.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #6. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #7,https://sjkonfilm.work/assets/images/scenes/full/IMG_6383.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #7. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #8,https://sjkonfilm.work/assets/images/scenes/full/IMG_6395.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #8. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
New York City - Spring 2026 - 35mm Film Photography #9,https://sjkonfilm.work/assets/images/scenes/full/IMG_6442.webp,https://sjkonfilm.work/pages/scenes.html,"New York City - Spring 2026 - 35mm Film Photography #9. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Analog Landscapes & Scenes
