Title,Media URL,Destination Link,Description,Pinterest board
"Seaside, Oregon - Autumn 2023 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_2244.webp,https://sjkonfilm.work/pages/color.html,"Seaside, Oregon - Autumn 2023 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Portland, Oregon - Summer 2025 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_2251.webp,https://sjkonfilm.work/pages/color.html,"Portland, Oregon - Summer 2025 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Boxley Valley, Arkansas - Autumn 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_2252.webp,https://sjkonfilm.work/pages/color.html,"Boxley Valley, Arkansas - Autumn 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"China Town, San Francisco, California - Summer 2021 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_2363.webp,https://sjkonfilm.work/pages/color.html,"China Town, San Francisco, California - Summer 2021 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Portland, Maine - Spring - 2022 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_4135.webp,https://sjkonfilm.work/pages/color.html,"Portland, Maine - Spring - 2022 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Rio de Janeiro, Brazil - Summer 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_5762.webp,https://sjkonfilm.work/pages/color.html,"Rio de Janeiro, Brazil - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Cusco, Peru - Summer 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_5774.webp,https://sjkonfilm.work/pages/color.html,"Cusco, Peru - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Machu Picchu, Peru - Summer 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_5805.webp,https://sjkonfilm.work/pages/color.html,"Machu Picchu, Peru - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Machu Picchu, Peru - Summer 2024 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_5822.webp,https://sjkonfilm.work/pages/color.html,"Machu Picchu, Peru - Summer 2024 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Medellin, Colombia - Summer 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_5951.webp,https://sjkonfilm.work/pages/color.html,"Medellin, Colombia - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
Peru - Summer 2024 - 35mm Film Photography,https://sjkonfilm.work/assets/images/color/full/IMG_6050.webp,https://sjkonfilm.work/pages/color.html,"Peru - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
Peru - Summer 2024 - 35mm Film Photography #2,https://sjkonfilm.work/assets/images/color/full/IMG_6055.webp,https://sjkonfilm.work/pages/color.html,"Peru - Summer 2024 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Medellin, Colombia - Summer 2024 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_6068.webp,https://sjkonfilm.work/pages/color.html,"Medellin, Colombia - Summer 2024 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
